City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Bilma,NE,18.6853,12.9164,61.7,30,0,7.76,clear sky
224,Buin,CL,-33.7333,-70.75,73.0,68,0,10.36,clear sky
225,Novoagansk,RU,61.9449,76.6625,11.66,96,100,9.19,light snow
226,Almaznyy,RU,48.0448,40.045,23.0,74,40,13.42,scattered clouds
227,Sierpc,PL,52.8568,19.6691,20.37,94,70,6.15,broken clouds
228,Broken Hill,AU,-31.95,141.4333,71.6,49,0,18.41,clear sky
229,Hervey Bay,AU,-25.2986,152.8535,87.01,51,75,6.91,broken clouds
230,Mattru,SL,7.6244,-11.8332,74.3,82,76,1.83,broken clouds
231,Sayyan,YE,15.1718,44.3244,46.35,82,0,5.17,clear sky
232,Nicoya,CR,10.1483,-85.452,80.6,74,0,5.75,clear sky
233,Burnie,AU,-41.0667,145.9167,61.0,85,0,5.01,clear sky
234,Abalak,RU,58.1286,68.5944,33.21,97,100,8.84,overcast clouds
235,Sri Aman,MY,1.2376,111.4621,77.0,94,40,0.87,scattered clouds
236,Mogadishu,SO,2.0371,45.3438,75.07,85,51,15.41,broken clouds
237,Faya,SA,18.3851,42.4509,53.6,50,0,10.36,clear sky
238,Tasiilaq,GL,65.6145,-37.6368,28.4,59,75,5.75,light snow
239,Lompoc,US,34.6391,-120.4579,64.4,52,1,11.5,clear sky
240,Aldan,RU,58.6031,125.3894,-21.91,86,100,1.7,overcast clouds
241,Boca Do Acre,BR,-8.7522,-67.3978,74.5,96,99,2.77,overcast clouds
242,Dwarka,IN,22.2394,68.9678,67.55,50,0,13.85,clear sky
243,Vila Velha,BR,-20.3297,-40.2925,82.4,74,75,9.22,broken clouds
244,Gbarnga,LR,6.9956,-9.4722,74.07,94,34,3.06,scattered clouds
245,Hobyo,SO,5.3505,48.5268,75.54,74,27,15.03,scattered clouds
246,Zhigansk,RU,66.7697,123.3711,-42.66,75,73,4.16,broken clouds
247,Baruun-Urt,MN,46.6806,113.2792,-1.61,86,0,4.65,clear sky
248,Dois Vizinhos,BR,-25.7336,-53.0572,60.94,83,0,5.99,clear sky
249,Haines Junction,CA,60.7522,-137.5108,-11.2,64,100,1.41,overcast clouds
250,Ingham,US,42.6,-84.3833,17.01,79,90,10.36,overcast clouds
251,Peniche,PT,39.3558,-9.3811,53.01,90,100,15.01,overcast clouds
252,Ostrovnoy,RU,68.0531,39.5131,15.35,92,100,10.29,overcast clouds
253,Leningradskiy,RU,69.3833,178.4167,-9.47,88,100,8.21,overcast clouds
254,Santa Marta,CO,11.2408,-74.199,86.0,66,20,10.36,few clouds
255,Goure,NE,13.9835,10.2704,66.99,22,0,8.99,clear sky
256,Nyrob,RU,60.733,56.7202,34.83,98,100,6.87,light rain
257,Wahiawa,US,21.5028,-158.0236,77.0,68,75,11.5,broken clouds
258,The Valley,AI,18.217,-63.0578,78.8,69,20,11.5,few clouds
259,Pisco,PE,-13.7,-76.2167,71.6,83,0,13.8,clear sky
260,Te Anau,NZ,-45.4167,167.7167,75.04,40,78,1.83,broken clouds
261,Bambanglipuro,ID,-7.95,110.2833,80.76,77,19,5.12,few clouds
262,Sergeyevka,KZ,53.88,67.4158,34.48,98,100,11.88,overcast clouds
263,Port Shepstone,ZA,-30.7414,30.455,73.36,81,21,2.48,few clouds
264,Bluefield,US,37.2698,-81.2223,30.2,59,1,10.36,clear sky
265,Nouadhibou,MR,20.931,-17.0347,62.6,77,40,6.91,scattered clouds
